canonical_order,act_id,script_id,error_category
133,S042a01,S042,Structural Issue
134,S042a02,S042,Structural Issue
135,S042a03,S042,Structural Issue
136,S042a04,S042,Structural Issue
137,S043a01,S043,Structural Issue
138,S043a02,S043,Structural Issue
139,S043a03,S043,Structural Issue
140,S043a04,S043,Structural Issue
141,S044a01,S044,Structural Issue
142,S044a02,S044,Structural Issue
143,S044a03,S044,Structural Issue
144,S044a04,S044,Structural Issue
145,S044a05,S044,Structural Issue
146,S045a01,S045,Structural Issue
147,S045a02,S045,Structural Issue
148,S045a03,S045,Structural Issue
149,S045a04,S045,Structural Issue
150,S046a01,S046,Insufficient Depth
151,S046a02,S046,Insufficient Depth
152,S046a03,S046,Insufficient Depth
153,S046a04,S046,Insufficient Depth
154,S047a01,S047,Insufficient Depth
155,S047a02,S047,Insufficient Depth
156,S047a03,S047,Insufficient Depth
157,S047a04,S047,Insufficient Depth
158,S048a01,S048,Insufficient Depth
159,S048a02,S048,Insufficient Depth
160,S048a03,S048,Insufficient Depth
161,S049a01,S049,Insufficient Depth
162,S049a02,S049,Insufficient Depth
163,S049a03,S049,Insufficient Depth
164,S050a01,S050,Insufficient Depth
165,S050a02,S050,Insufficient Depth
166,S050a03,S050,Insufficient Depth
