subject,topic,language,generated_ok,failed
Bahasa Inggeris,Consumerism and Financial Awareness,English,2,0
Bahasa Inggeris,Continuous Writing,Bahasa Melayu,5,0
Bahasa Inggeris,Continuous Writing,English,4,0
Bahasa Inggeris,Directed Writing,Bahasa Melayu,5,0
Bahasa Inggeris,Directed Writing,English,5,0
Bahasa Inggeris,Environment and Nature,Bahasa Melayu,4,0
Bahasa Inggeris,Friendships and Relationships,Bahasa Melayu,4,0
Bahasa Inggeris,Global Issues and Current Affairs,Bahasa Melayu,4,0
Bahasa Inggeris,Global Issues and Current Affairs,English,4,0
Bahasa Inggeris,Grammar in Context,Bahasa Melayu,4,0
Bahasa Inggeris,Grammar in Context,English,4,0
Bahasa Inggeris,Health and Wellness,Bahasa Melayu,4,0
Bahasa Inggeris,Health and Wellness,English,4,0
Bahasa Inggeris,Literature: Drama,Bahasa Melayu,4,0
Bahasa Inggeris,Literature: Drama,English,4,0
Bahasa Inggeris,Literature: Novel,Bahasa Melayu,4,0
Bahasa Inggeris,Literature: Novel,English,4,0
Bahasa Inggeris,Literature: Poems,Bahasa Melayu,4,0
Bahasa Inggeris,Literature: Poems,English,4,0
Bahasa Inggeris,Literature: Short Stories,Bahasa Melayu,4,0
Bahasa Inggeris,Literature: Short Stories,English,4,0
Bahasa Inggeris,Media and Communication,Bahasa Melayu,4,0
Bahasa Inggeris,Media and Communication,English,4,0
Bahasa Inggeris,People and Work,Bahasa Melayu,4,0
Bahasa Inggeris,People and Work,English,4,0
Bahasa Inggeris,Science and Technology,Bahasa Melayu,4,0
Bahasa Inggeris,Science and Technology,English,4,0
Bahasa Inggeris,Society and Community,Bahasa Melayu,4,0
Bahasa Inggeris,Society and Community,English,4,0
Bahasa Inggeris,Technology and Innovation,Bahasa Melayu,4,0
Bahasa Inggeris,Technology and Innovation,English,4,0
Bahasa Inggeris,Travel and Adventure,Bahasa Melayu,4,0
Bahasa Inggeris,Travel and Adventure,English,4,0
Bahasa Inggeris,Vocabulary Building,Bahasa Melayu,4,0
Bahasa Inggeris,Vocabulary Building,English,4,0
Bahasa Melayu,Alam Sekitar dan Teknologi Hijau,Bahasa Melayu,5,0
Bahasa Melayu,Alam Sekitar dan Teknologi Hijau,English,5,0
Bahasa Melayu,"Ekonomi, Keusahawanan dan Pengurusan Kewangan",Bahasa Melayu,5,0
Bahasa Melayu,"Ekonomi, Keusahawanan dan Pengurusan Kewangan",English,5,0
Bahasa Melayu,"Jati Diri, Patriotisme dan Kewarganegaraan",Bahasa Melayu,5,0
Bahasa Melayu,"Jati Diri, Patriotisme dan Kewarganegaraan",English,5,0
Bahasa Melayu,KOMSAS: Cerpen,Bahasa Melayu,3,0
Bahasa Melayu,KOMSAS: Cerpen,English,4,0
Bahasa Melayu,KOMSAS: Drama,Bahasa Melayu,4,0
Bahasa Melayu,KOMSAS: Drama,English,4,0
Bahasa Melayu,KOMSAS: Novel,Bahasa Melayu,4,0
Bahasa Melayu,KOMSAS: Novel,English,4,0
Bahasa Melayu,KOMSAS: Prosa Tradisional,Bahasa Melayu,2,0
Bahasa Melayu,KOMSAS: Prosa Tradisional,English,5,0
Bahasa Melayu,KOMSAS: Puisi Moden,Bahasa Melayu,4,0
Bahasa Melayu,KOMSAS: Puisi Moden,English,4,0
Bahasa Melayu,KOMSAS: Puisi Tradisional,Bahasa Melayu,4,0
Bahasa Melayu,KOMSAS: Puisi Tradisional,English,4,0
Bahasa Melayu,"Kebudayaan, Kesenian dan Estetika",Bahasa Melayu,5,0
Bahasa Melayu,"Kebudayaan, Kesenian dan Estetika",English,5,0
Bahasa Melayu,Kesihatan dan Kebersihan,Bahasa Melayu,3,0
Bahasa Melayu,Kesihatan dan Kebersihan,English,5,0
Bahasa Melayu,Pemahaman dan Rumusan,Bahasa Melayu,4,0
Bahasa Melayu,Pemahaman dan Rumusan,English,4,0
Bahasa Melayu,Pendidikan dan Ilmu,Bahasa Melayu,4,0
Bahasa Melayu,Pendidikan dan Ilmu,English,4,0
Bahasa Melayu,Penulisan Karangan,Bahasa Melayu,5,0
Bahasa Melayu,Penulisan Karangan,English,5,0
Bahasa Melayu,"Sains, Teknologi dan Inovasi",Bahasa Melayu,4,0
Bahasa Melayu,"Sains, Teknologi dan Inovasi",English,4,0
Bahasa Melayu,Sejarah dan Warisan,English,5,0
Bahasa Melayu,Tatabahasa dan Peribahasa,Bahasa Melayu,3,0
Bahasa Melayu,Tatabahasa dan Peribahasa,English,4,0
Biology,Biodiversity,Bahasa Melayu,4,0
Biology,Biodiversity,English,4,0
Biology,Cell Biology and Organisation,Bahasa Melayu,4,0
Biology,Cell Biology and Organisation,English,4,0
Biology,Cell Division,Bahasa Melayu,4,0
Biology,Cell Division,English,3,0
Biology,Cellular Respiration,Bahasa Melayu,4,0
Biology,Cellular Respiration,English,4,0
Biology,Chemical Composition in a Cell,Bahasa Melayu,4,0
Biology,Chemical Composition in a Cell,English,4,0
Biology,Coordination and Response in Humans,Bahasa Melayu,4,0
Biology,Coordination and Response in Humans,English,4,0
Biology,Ecosystem,Bahasa Melayu,4,0
Biology,Ecosystem,English,4,0
Biology,Environmental Sustainability,Bahasa Melayu,4,0
Biology,Environmental Sustainability,English,4,0
Biology,Genetic Engineering and Biotechnology,Bahasa Melayu,4,0
Biology,Genetic Engineering and Biotechnology,English,4,0
Biology,Homeostasis and Human Urinary System,Bahasa Melayu,4,0
Biology,Homeostasis and Human Urinary System,English,3,0
Biology,Immunity in Humans,Bahasa Melayu,4,0
Biology,Immunity in Humans,English,2,0
Biology,Inheritance,Bahasa Melayu,4,0
Biology,Inheritance,English,4,0
Biology,Introduction to Biology,Bahasa Melayu,4,0
Biology,Introduction to Biology,English,4,0
Biology,Metabolism and Enzymes,Bahasa Melayu,4,0
Biology,Metabolism and Enzymes,English,4,0
Biology,Movement of Substances across a Plasma Membrane,Bahasa Melayu,4,0
Biology,Movement of Substances across a Plasma Membrane,English,4,0
Biology,Nutrition and Human Digestive System,Bahasa Melayu,5,0
Biology,Nutrition and Human Digestive System,English,4,0
Biology,Nutrition in Plants,Bahasa Melayu,4,0
Biology,Nutrition in Plants,English,4,0
Biology,Organisation of Plant Tissues and Growth,Bahasa Melayu,4,0
Biology,Organisation of Plant Tissues and Growth,English,4,0
Biology,Respiratory System in Humans and Animals,Bahasa Melayu,4,0
Biology,Respiratory System in Humans and Animals,English,4,0
Biology,Responses in Plants,Bahasa Melayu,4,0
Biology,Responses in Plants,English,4,0
Biology,Sexual Reproduction in Humans and Animals,Bahasa Melayu,4,0
Biology,Sexual Reproduction in Humans and Animals,English,3,0
Biology,Sexual Reproduction in Plants,Bahasa Melayu,4,0
Biology,Sexual Reproduction in Plants,English,4,0
Biology,Support and Movement in Humans and Animals,Bahasa Melayu,4,0
Biology,Support and Movement in Humans and Animals,English,4,0
Biology,Transport in Humans and Animals,Bahasa Melayu,4,0
Biology,Transport in Humans and Animals,English,4,0
Biology,Transport in Plants,Bahasa Melayu,4,0
Biology,Transport in Plants,English,4,0
Biology,Variation,Bahasa Melayu,4,0
Biology,Variation,English,4,0
Chemistry,"Acid, Base and Salt",Bahasa Melayu,4,0
Chemistry,"Acid, Base and Salt",English,4,0
Chemistry,Carbon Compound,Bahasa Melayu,4,0
Chemistry,Carbon Compound,English,4,0
Chemistry,Chemical Bond,Bahasa Melayu,4,0
Chemistry,Chemical Bond,English,2,0
Chemistry,Consumer and Industrial Chemistry,Bahasa Melayu,4,0
Chemistry,Consumer and Industrial Chemistry,English,4,0
Chemistry,Introduction to Chemistry,Bahasa Melayu,4,0
Chemistry,Introduction to Chemistry,English,4,0
Chemistry,Manufactured Substances in Industry,Bahasa Melayu,4,0
Chemistry,Manufactured Substances in Industry,English,4,0
Chemistry,Matter and Atomic Structure,Bahasa Melayu,4,0
Chemistry,Matter and Atomic Structure,English,4,0
Chemistry,Polymer Chemistry,Bahasa Melayu,4,0
Chemistry,Polymer Chemistry,English,4,0
Chemistry,Rate of Reaction,Bahasa Melayu,4,0
Chemistry,Rate of Reaction,English,4,0
Chemistry,Redox Equilibrium,Bahasa Melayu,4,0
Chemistry,Redox Equilibrium,English,4,0
Chemistry,"The Mole Concept, Chemical Formula and Equation",Bahasa Melayu,4,0
Chemistry,"The Mole Concept, Chemical Formula and Equation",English,5,0
Chemistry,The Periodic Table of Elements,Bahasa Melayu,4,0
Chemistry,The Periodic Table of Elements,English,4,0
Chemistry,Thermochemistry,Bahasa Melayu,4,0
Chemistry,Thermochemistry,English,4,0
Geografi,Alam Sekitar dan Kelestarian,Bahasa Melayu,5,0
Geografi,Alam Sekitar dan Kelestarian,English,5,0
Geografi,Bentuk Muka Bumi,Bahasa Melayu,5,0
Geografi,Bentuk Muka Bumi,English,3,0
Geografi,Cuaca dan Iklim,Bahasa Melayu,5,0
Geografi,Cuaca dan Iklim,English,3,0
Geografi,Pembangunan Wilayah,Bahasa Melayu,5,0
Geografi,Pembangunan Wilayah,English,5,0
Geografi,Penduduk,Bahasa Melayu,5,0
Geografi,Penduduk,English,4,0
Geografi,Petempatan,Bahasa Melayu,5,0
Geografi,Petempatan,English,5,0
Geografi,Sumber dan Aktiviti Ekonomi,Bahasa Melayu,5,0
Geografi,Sumber dan Aktiviti Ekonomi,English,5,0
Mathematics,Angles of Elevation and Depression,Bahasa Melayu,4,0
Mathematics,Angles of Elevation and Depression,English,4,0
Mathematics,Gradient and Area under a Graph,Bahasa Melayu,4,0
Mathematics,Gradient and Area under a Graph,English,4,0
Mathematics,Graphs of Motion,Bahasa Melayu,2,0
Mathematics,Graphs of Motion,English,2,0
Mathematics,Linear Inequalities,Bahasa Melayu,4,0
Mathematics,Linear Inequalities,English,4,0
Mathematics,Lines and Planes in 3D,Bahasa Melayu,4,0
Mathematics,Lines and Planes in 3D,English,4,0
Mathematics,Logical Reasoning,Bahasa Melayu,4,0
Mathematics,Logical Reasoning,English,4,0
Mathematics,Number Bases,Bahasa Melayu,4,0
Mathematics,Number Bases,English,4,0
Mathematics,Operations on Sets,Bahasa Melayu,4,0
Mathematics,Operations on Sets,English,3,0
Mathematics,Patterns and Sequences,Bahasa Melayu,4,0
Mathematics,Patterns and Sequences,English,3,0
Mathematics,Plans and Elevations,Bahasa Melayu,4,0
Mathematics,Plans and Elevations,English,4,0
Mathematics,Probability,Bahasa Melayu,4,0
Mathematics,Probability,English,4,0
Mathematics,Trigonometry,Bahasa Melayu,4,0
Mathematics,Trigonometry,English,4,0
Pendidikan Moral,Demokrasi dan Keadilan,Bahasa Melayu,5,0
Pendidikan Moral,Demokrasi dan Keadilan,English,4,0
Pendidikan Moral,Hak Asasi Manusia,Bahasa Melayu,5,0
Pendidikan Moral,Hak Asasi Manusia,English,4,0
Pendidikan Moral,Integriti,Bahasa Melayu,5,0
Pendidikan Moral,Integriti,English,4,0
Pendidikan Moral,Kesejahteraan Keluarga,Bahasa Melayu,5,0
Pendidikan Moral,Kesejahteraan Keluarga,English,4,0
Pendidikan Moral,Nilai Kemanusiaan,Bahasa Melayu,5,0
Pendidikan Moral,Nilai Kemanusiaan,English,4,0
Pendidikan Moral,Patriotisme,Bahasa Melayu,5,0
Pendidikan Moral,Patriotisme,English,4,0
Pendidikan Moral,Tanggungjawab Sosial,Bahasa Melayu,5,0
Pendidikan Moral,Tanggungjawab Sosial,English,4,0
Pendidikan Muzik,Apresiasi Muzik,Bahasa Melayu,5,0
Pendidikan Muzik,Apresiasi Muzik,English,5,0
Pendidikan Muzik,Ensembel,Bahasa Melayu,5,0
Pendidikan Muzik,Ensembel,English,1,0
Pendidikan Muzik,Irama dan Melodi,Bahasa Melayu,5,0
Pendidikan Muzik,Irama dan Melodi,English,4,0
Pendidikan Muzik,Notasi Muzik,Bahasa Melayu,5,0
Pendidikan Muzik,Notasi Muzik,English,1,0
Pendidikan Muzik,Nyanyian,Bahasa Melayu,5,0
Pendidikan Muzik,Nyanyian,English,5,0
Pendidikan Muzik,Teori Muzik,Bahasa Melayu,5,0
Pendidikan Muzik,Teori Muzik,English,4,0
Pendidikan Seni Visual,Apresiasi Seni,Bahasa Melayu,5,0
Pendidikan Seni Visual,Apresiasi Seni,English,5,0
Pendidikan Seni Visual,Asas Seni Reka,Bahasa Melayu,5,0
Pendidikan Seni Visual,Asas Seni Reka,English,5,0
Pendidikan Seni Visual,Kraf Tradisional,Bahasa Melayu,5,0
Pendidikan Seni Visual,Kraf Tradisional,English,2,0
Pendidikan Seni Visual,Reka Bentuk,Bahasa Melayu,5,0
Pendidikan Seni Visual,Reka Bentuk,English,5,0
Pendidikan Seni Visual,Seni Digital,Bahasa Melayu,5,0
Pendidikan Seni Visual,Seni Digital,English,5,0
Pendidikan Seni Visual,Seni Halus,Bahasa Melayu,5,0
Pendidikan Seni Visual,Seni Halus,English,3,0
Physics,Electricity,Bahasa Melayu,4,0
Physics,Electricity,English,4,0
Physics,Electromagnetism,Bahasa Melayu,4,0
Physics,Electromagnetism,English,4,0
Physics,Electronics,Bahasa Melayu,4,0
Physics,Electronics,English,4,0
Physics,Force and Motion II,Bahasa Melayu,4,0
Physics,Force and Motion II,English,4,0
Physics,Heat,Bahasa Melayu,4,0
Physics,Light and Optics,Bahasa Melayu,4,0
Physics,Light and Optics,English,2,0
Physics,Nuclear Physics,Bahasa Melayu,4,0
Physics,Nuclear Physics,English,4,0
Physics,Pressure,Bahasa Melayu,4,0
Physics,Pressure,English,4,0
Physics,Quantum Physics,Bahasa Melayu,4,0
Physics,Quantum Physics,English,4,0
Physics,Waves,Bahasa Melayu,4,0
Physics,Waves,English,3,0
Prinsip Perakaunan,Analisis Nisbah,Bahasa Melayu,5,0
Prinsip Perakaunan,Analisis Nisbah,English,5,0
Prinsip Perakaunan,Asas Perniagaan,Bahasa Melayu,5,0
Prinsip Perakaunan,Asas Perniagaan,English,5,0
Prinsip Perakaunan,Kawalan Dalaman,Bahasa Melayu,5,0
Prinsip Perakaunan,Kawalan Dalaman,English,5,0
Prinsip Perakaunan,Pengurusan Sumber Manusia,Bahasa Melayu,5,0
Prinsip Perakaunan,Pengurusan Sumber Manusia,English,5,0
Prinsip Perakaunan,Penyata Kewangan,Bahasa Melayu,5,0
Prinsip Perakaunan,Penyata Kewangan,English,5,0
Prinsip Perakaunan,Perakaunan Asas,Bahasa Melayu,5,0
Prinsip Perakaunan,Perakaunan Asas,English,3,0
Science,Biodiversity,Bahasa Melayu,4,0
Science,Biodiversity,English,4,0
Science,Cell as a Unit of Life,Bahasa Melayu,5,0
Science,Cell as a Unit of Life,English,5,0
Science,Ecosystem,Bahasa Melayu,4,0
Science,Ecosystem,English,4,0
Science,Energy,Bahasa Melayu,5,0
Science,Energy,English,5,0
Science,Forces and Motion,Bahasa Melayu,5,0
Science,Forces and Motion,English,5,0
Science,Introduction to Science,Bahasa Melayu,5,0
Science,Introduction to Science,English,2,0
Science,Matter,Bahasa Melayu,5,0
Science,Matter,English,5,0
Science,Microorganisms and Their Effects,Bahasa Melayu,5,0
Science,Microorganisms and Their Effects,English,1,0
Science,Nutrition,Bahasa Melayu,5,0
Science,Nutrition,English,5,0
Science,Reproduction,Bahasa Melayu,5,0
Science,Reproduction,English,5,0
Science,Stars and Galaxies,Bahasa Melayu,5,0
Science,Stars and Galaxies,English,5,0
Science,Technology in Society,Bahasa Melayu,5,0
Science,Technology in Society,English,5,0
Sejarah,Gerakan Nasionalisme di Asia Tenggara,Bahasa Melayu,5,0
Sejarah,Gerakan Nasionalisme di Asia Tenggara,English,5,0
Sejarah,Kebangkitan Nasionalisme,Bahasa Melayu,5,0
Sejarah,Kebangkitan Nasionalisme,English,2,0
Sejarah,Kesultanan Melayu Melaka,Bahasa Melayu,5,0
Sejarah,Kesultanan Melayu Melaka,English,5,0
Sejarah,Malaysia Merdeka,Bahasa Melayu,5,0
Sejarah,Nasionalisme di Malaysia,Bahasa Melayu,5,0
Sejarah,Nasionalisme di Malaysia,English,5,0
Sejarah,Pembangunan Negara Bangsa,Bahasa Melayu,5,0
Sejarah,Pembangunan Negara Bangsa,English,5,0
Sejarah,Perkembangan di Eropah,Bahasa Melayu,5,0
Sejarah,Perkembangan di Eropah,English,5,0
Sejarah,Tamadun Awal Dunia,Bahasa Melayu,5,0
Sejarah,Tamadun Awal Dunia,English,5,0
Sejarah,Tamadun Islam,Bahasa Melayu,5,0
Sejarah,Tamadun Islam,English,5,0
Sejarah,Warisan Negara Bangsa,Bahasa Melayu,5,0
Sejarah,Warisan Negara Bangsa,English,3,0
